domain_name,visit_id
youtu.be,any_string_1
google.be,any_string_2
kuleuven.be,any_string_3
telenet.be,any_string_4
skynet.be,any_string_5
hln.be,any_string_6
ugent.be,any_string_7
belgium.be,any_string_8
rtbf.be,any_string_9
vrt.be,any_string_10
blogspot.be,any_string_11
fgov.be,any_string_12
nieuwsblad.be,any_string_13
lesoir.be,any_string_14
standaard.be,any_string_15
geoedge.be,any_string_16
uclouvain.be,any_string_17
ilovejuju.be,any_string_18
lalibre.be,any_string_19
2dehands.be,any_string_20
reserva.be,any_string_21
pandora.be,any_string_22
rdcu.be,any_string_23
dhnet.be,any_string_24
vlaanderen.be,any_string_25
uliege.be,any_string_26
dbi-sa.be,any_string_27
seld.be,any_string_28
sporza.be,any_string_29
scarlet.be,any_string_30
demorgen.be,any_string_31
rtl.be,any_string_32
skynetblogs.be,any_string_33
uantwerpen.be,any_string_34
proximus.be,any_string_35
knack.be,any_string_36
bnpparibasfortis.be,any_string_37
fci.be,any_string_38
levif.be,any_string_39
immoweb.be,any_string_40
surfe.be,any_string_41
ebay.be,any_string_42
tijd.be,any_string_43
gva.be,any_string_44
deredactie.be,any_string_45
wallonie.be,any_string_46
rosserial.be,any_string_47
smartschool.be,any_string_48
vtm.be,any_string_49
hbvl.be,any_string_50
7sur7.be,any_string_51
irisnet.be,any_string_52
acea.be,any_string_53
smartnews.be,any_string_54
sudinfo.be,any_string_55
lecho.be,any_string_56
info-coronavirus.be,any_string_57
2ememain.be,any_string_58
zalando.be,any_string_59
tuna.be,any_string_60
ing.be,any_string_61
pornktu.be,any_string_62
seniorennet.be,any_string_63
brusselsairport.be,any_string_64
belgiantrain.be,any_string_65
meteo.be,any_string_66
coolblue.be,any_string_67
antwerpen.be,any_string_68
promobutler.be,any_string_69
zimmo.be,any_string_70
bozar.be,any_string_71
urlr.be,any_string_72
bpost.be,any_string_73
bloggen.be,any_string_74
autoscout24.be,any_string_75
metrotime.be,any_string_76
delijn.be,any_string_77
airbnb.be,any_string_78
diplomatie.be,any_string_79
uhasselt.be,any_string_80
dpgmedia.be,any_string_81
belgianrail.be,any_string_82
cfwb.be,any_string_83
sport.be,any_string_84
privacycommission.be,any_string_85
jetengine.be,any_string_86
ulb.be,any_string_87
rtlplay.be,any_string_88
yelp.be,any_string_89
tripadvisor.be,any_string_90
gent.be,any_string_91
socialsecurity.be,any_string_92
vdab.be,any_string_93
vlan.be,any_string_94
ttias.be,any_string_95
een.be,any_string_96
nbb.be,any_string_97
mathiasbynens.be,any_string_98
belfius.be,any_string_99
africamuseum.be,any_string_100
classy.be,any_string_101
2link.be,any_string_102
oma.be,any_string_103
ping.be,any_string_104
padeodco.be,any_string_105
brugge.be,any_string_106
immosolo.be,any_string_107
prosotic.be,any_string_108
spatie.be,any_string_109
afspraakjes.be,any_string_110
eua.be,any_string_111
kbc.be,any_string_112
hortamuseum.be,any_string_113
humo.be,any_string_114
vib.be,any_string_115
fine-arts-museum.be,any_string_116
vito.be,any_string_117
itsme.be,any_string_118
radio1.be,any_string_119
vlaio.be,any_string_120
lameuse.be,any_string_121
b-rail.be,any_string_122
benleurquin.be,any_string_123
tuifly.be,any_string_124
mo.be,any_string_125
ettv.be,any_string_126
naturalsciences.be,any_string_127
jobat.be,any_string_128
y2u.be,any_string_129
innotec-industrie.be,any_string_130
mailprotect.be,any_string_131
zoe-beauty.be,any_string_132
unamur.be,any_string_133
webhosting.be,any_string_134
atomium.be,any_string_135
visitbruges.be,any_string_136
groupon.be,any_string_137
belsign.be,any_string_138
ucll.be,any_string_139
mediamarkt.be,any_string_140
register.be,any_string_141
kbr.be,any_string_142
argenta.be,any_string_143
onlc.be,any_string_144
kbs-frb.be,any_string_145
ap.be,any_string_146
diana.be,any_string_147
bruzz.be,any_string_148
stubru.be,any_string_149
meteobelgique.be,any_string_150
decathlon.be,any_string_151
brussels.be,any_string_152
sportkipik.be,any_string_153
